gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn_Probability,Predicted_Churn,Risk_Category
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0.843324,1,High
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0.10951559,0,Low
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15,0.54921895,1,Medium
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75,0.10141954,0,Low
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,0.85331225,1,High
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5,0.91466814,1,High
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4,0.65840334,1,High
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9,0.36313987,1,Medium
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05,0.753834,1,High
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95,0.08673231,0,Low
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45,0.3350353,0,Low
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8,0.04024479,0,Low
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1,0.4606243,1,Medium
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3,0.6788679,1,High
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05,0.69215345,1,High
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15,0.22180527,0,Low
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95,0.06264376,0,Low
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25,0.15099673,0,Low
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35,0.4287297,1,Medium
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9,0.69007367,1,High
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65,0.90046966,1,High
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25,0.10265602,0,Low
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15,0.5780287,1,Medium
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1,0.07380708,0,Low
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3,0.21940583,0,Low
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6,0.33772436,0,Low
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15,0.7256017,1,High
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2,0.75824624,1,High
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45,0.021884738,0,Low
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1,0.49302754,1,Medium
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95,0.04641005,0,Low
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65,0.9060731,1,High
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45,0.094598435,0,Low
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2,0.5640829,1,Medium
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0.80423063,1,High
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7,0.03744702,0,Low
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,0.797733,1,High
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3,0.5311356,1,Medium
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25,0.76546586,1,High
0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4,0.87373525,1,High
1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7,0.16507353,0,Low
0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35,0.058758974,0,Low
0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25,0.07909849,0,Low
0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45,0.04153876,0,Low
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45,0.53679156,1,Medium
0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0.7095133,1,High
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0.65286225,1,High
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,0.88850117,1,High
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0.07542487,0,Low
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0.05186871,0,Low
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0.6762488,1,High
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,0.69900036,1,High
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0.3537633,1,Medium
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,0.80758667,1,High
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0.11638063,0,Low
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,0.8180791,1,High
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0.32059416,0,Low
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0.5039019,1,Medium
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0.047079254,0,Low
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0.15593772,0,Low
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0.76812714,1,High
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0.43934545,1,Medium
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0.029819174,0,Low
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0.17421064,0,Low
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,0.85310215,1,High
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0.6894863,1,High
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0.2866282,0,Low
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0.06801078,0,Low
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0.038034666,0,Low
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0.5433852,1,Medium
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0.6663575,1,High
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0.093860485,0,Low
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0.22460051,0,Low
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0.0336622,0,Low
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0.4992167,1,Medium
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0.5526008,1,Medium
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0.23740304,0,Low
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0.27487466,0,Low
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0.5088488,1,Medium
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0.10302156,0,Low
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,0.9225162,1,High
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0.47465166,1,Medium
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,0.74308497,1,High
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0.6118244,1,High
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0.046657667,0,Low
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0.8784867,1,High
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0.16431697,0,Low
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0.037331607,0,Low
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0.04322031,0,Low
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0.40177295,1,Medium
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0.54309005,1,Medium
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0.82941115,1,High
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0.05251278,0,Low
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0.46908912,1,Medium
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0.1252484,0,Low
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,0.69990575,1,High
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0.04759799,0,Low
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,0.3224324,0,Low
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0.039765317,0,Low
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,0.7807823,1,High
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0.5780287,1,Medium
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0.5462311,1,Medium
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0.27920726,0,Low
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0.13931042,0,Low
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,0.35808346,1,Medium
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0.65091366,1,High
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0.19569017,0,Low
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0.12726742,0,Low
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0.42260194,1,Medium
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0.015829962,0,Low
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,0.58796173,1,Medium
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0.120569244,0,Low
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0.61151046,1,High
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,0.749287,1,High
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0.07906457,0,Low
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0.6375581,1,High
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0.08283309,0,Low
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,0.8532034,1,High
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0.03395209,0,Low
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0.49778304,1,Medium
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0.48379067,1,Medium
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0.25825703,0,Low
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,0.87748706,1,High
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0.3014995,0,Low
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0.33571148,0,Low
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0.106273115,0,Low
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,0.7363132,1,High
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0.019389601,0,Low
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0.5542253,1,Medium
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0.15421325,0,Low
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0.8594593,1,High
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,0.443896,1,Medium
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0.053474702,0,Low
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,0.87509793,1,High
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,0.7575809,1,High
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0.05711049,0,Low
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,0.4867155,1,Medium
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0.019030135,0,Low
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0.03953362,0,Low
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,0.9031076,1,High
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0.020850657,0,Low
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,0.51855206,1,Medium
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0.25482723,0,Low
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0.10440099,0,Low
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0.017381886,0,Low
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0.12333647,0,Low
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,0.12741686,0,Low
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,0.8292009,1,High
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0.14376467,0,Low
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,0.43304196,1,Medium
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,0.5852804,1,Medium
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,0.80329216,1,High
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0.44008666,1,Medium
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0.04184914,0,Low
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,0.26056397,0,Low
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,0.73632646,1,High
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,0.69768524,1,High
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9,0.07146926,0,Low
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0.06832141,0,Low
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0.056980666,0,Low
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,0.3982782,1,Medium
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,0.57686746,1,Medium
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,0.8507803,1,High
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0.08601913,0,Low
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,0.08249518,0,Low
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0.019339649,0,Low
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,0.80717003,1,High
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,0.021884738,0,Low
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,0.5719133,1,Medium
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,0.23512736,0,Low
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0.13420251,0,Low
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,0.9097286,1,High
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,0.09571148,0,Low
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,0.4560367,1,Medium
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,0.08111438,0,Low
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0.24585696,0,Low
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,0.76412034,1,High
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,0.58651054,1,Medium
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,0.80121166,1,High
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0.05998409,0,Low
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,0.7627487,1,High
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,0.75265783,1,High
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,0.80011064,1,High
1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3,0.22938998,0,Low
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65,0.7454456,1,High
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8,0.865528,1,High
1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,1023.85,0.4033084,1,Medium
1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,82.15,0.69299626,1,High
0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,244.8,0.09732669,0,Low
0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2379.1,0.3809507,1,Medium
1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,3173.35,0.2165587,0,Low
1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0,0.81043255,1,High
0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,1375.4,0.02540743,0,Low
0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3,0.060447637,0,Low
1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1192.7,0.03719206,0,Low
0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1901.65,0.53785497,1,Medium
1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,587.4,0.062710464,0,Low
1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75,0.65499425,1,High
1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,8041.65,0.1134159,0,Low
1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75,0.5342496,1,Medium
0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2681.15,0.48499337,1,Medium
0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,1112.3,0.6125237,1,High
1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,7405.5,0.12816598,0,Low
1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95,0.72714615,1,High
1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95,0.45745608,1,Medium
0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2684.85,0.19845082,0,Low
1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4179.2,0.02312955,0,Low
1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9,0.8963521,1,High
0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45,0.68216646,1,High
1,0,1,0,64,1,0,1,0,2,2,2,2,2,1,1,1,102.45,6654.1,0.3874472,1,Medium
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,0.7850718,1,High
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.25,25.25,0.8121779,1,High
1,0,0,1,61,1,0,2,1,1,1,1,1,1,2,0,3,19.75,1124.2,0.029748248,0,Low
0,0,1,1,29,1,0,2,1,1,1,1,1,1,1,0,2,20.0,540.05,0.08431238,0,Low
1,1,1,0,23,1,2,1,0,0,0,0,0,2,0,0,2,86.8,1975.85,0.719649,1,High
0,0,1,0,57,0,1,0,2,2,2,0,2,2,0,1,0,58.75,3437.45,0.36178657,1,Medium
1,0,1,1,72,0,1,0,2,2,2,2,0,0,2,0,1,45.25,3139.8,0.020341825,0,Low
1,0,1,0,66,0,1,0,2,2,2,2,2,0,2,1,0,56.6,3789.2,0.043797173,0,Low
1,0,1,1,65,1,2,0,0,2,2,2,2,2,2,1,0,84.2,5324.5,0.06821275,0,Low
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.0,624.6,0.7629358,1,High
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,268.35,0.83207744,1,High
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.75,1836.9,0.01649348,0,Low
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,20.2,20.2,0.2637257,0,Low
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,179.35,0.56112695,1,Medium
0,0,0,0,12,1,0,2,1,1,1,1,1,1,1,1,0,19.35,219.35,0.104631096,0,Low
1,0,0,0,24,0,1,0,2,0,0,0,2,2,1,1,3,50.6,1288.75,0.27692652,0,Low
0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,0.22601299,0,Low
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,0.7988629,1,High
1,0,0,0,30,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2723.15,0.5637279,1,Medium
0,0,1,1,47,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25,0.0639278,0,Low
1,0,0,0,54,1,2,1,2,2,0,2,2,2,2,1,1,108.0,5760.65,0.3595119,1,Medium
1,0,0,0,50,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4747.5,0.37289974,1,Medium
1,0,0,0,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6,0.8325813,1,High
0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,0,1,20.25,1566.9,0.01302844,0,Low
